73,sn,2020-06-03T00:34:15.910000Z,SRU,39.1108,-110.5238
74,sn,2020-06-03T00:36:48.510000Z,SRU,39.1108,-110.5238
75,lg,2020-06-03T00:24:43.660000Z,SRU,39.1108,-110.5238
76,lg,2020-06-03T00:29:39.160000Z,SRU,39.1108,-110.5238
77,lg,2020-06-03T00:40:31.660000Z,SRU,39.1108,-110.5238
78,pn,2020-06-03T00:10:05.300000Z,TPNV,36.9488,-116.2495
79,pn,2020-06-03T00:15:35.200000Z,TPNV,36.9488,-116.2495
80,pn,2020-06-03T00:18:35.800000Z,TPNV,36.9488,-116.2495
81,pn,2020-06-03T00:24:28.750000Z,TPNV,36.9488,-116.2495
82,pn,2020-06-03T00:26:26.450000Z,TPNV,36.9488,-116.2495
83,pn,2020-06-03T00:31:10.900000Z,TPNV,36.9488,-116.2495
84,pn,2020-06-03T00:33:40.700000Z,TPNV,36.9488,-116.2495
85,pn,2020-06-03T00:37:58.500000Z,TPNV,36.9488,-116.2495
86,pn,2020-06-03T00:43:24.400000Z,TPNV,36.9488,-116.2495
87,pg,2020-06-03T00:10:10.050000Z,TPNV,36.9488,-116.2495
88,pg,2020-06-03T00:24:32.250000Z,TPNV,36.9488,-116.2495
89,pg,2020-06-03T00:26:30.200000Z,TPNV,36.9488,-116.2495
90,pg,2020-06-03T00:33:43.200000Z,TPNV,36.9488,-116.2495
91,pg,2020-06-03T00:38:01.500000Z,TPNV,36.9488,-116.2495
92,pg,2020-06-03T00:43:28.350000Z,TPNV,36.9488,-116.2495
93,sn,2020-06-03T00:10:18.050000Z,TPNV,36.9488,-116.2495
94,sn,2020-06-03T00:16:36.150000Z,TPNV,36.9488,-116.2495
95,sn,2020-06-03T00:20:02.600000Z,TPNV,36.9488,-116.2495
96,sn,2020-06-03T00:24:55.900000Z,TPNV,36.9488,-116.2495
97,sn,2020-06-03T00:38:26.350000Z,TPNV,36.9488,-116.2495
98,sn,2020-06-03T00:43:51.300000Z,TPNV,36.9488,-116.2495
99,lg,2020-06-03T00:10:45.650000Z,TPNV,36.9488,-116.2495
100,lg,2020-06-03T00:20:48.000000Z,TPNV,36.9488,-116.2495
101,lg,2020-06-03T00:24:55.300000Z,TPNV,36.9488,-116.2495
102,lg,2020-06-03T00:34:09.350000Z,TPNV,36.9488,-116.2495
103,lg,2020-06-03T00:38:24.250000Z,TPNV,36.9488,-116.2495
104,lg,2020-06-03T00:43:58.850000Z,TPNV,36.9488,-116.2495
105,lg,2020-06-03T00:50:41.650000Z,TPNV,36.9488,-116.2495
106,pn,2020-06-03T00:24:00.950000Z,WUAZ,35.5169,-111.3739
107,sn,2020-06-03T00:25:17.850000Z,WUAZ,35.5169,-111.3739
108,pn,2020-06-03T00:16:47.650000Z,WVOR,42.4339,-118.637
109,pn,2020-06-03T00:42:31.600000Z,WVOR,42.4339,-118.637
110,sn,2020-06-03T00:13:15.750000Z,WVOR,42.4339,-118.637
111,sn,2020-06-03T00:18:45.200000Z,WVOR,42.4339,-118.637
112,sn,2020-06-03T00:22:55.800000Z,WVOR,42.4339,-118.637
113,sn,2020-06-03T00:44:05.350000Z,WVOR,42.4339,-118.637
